PopulationID,Rank,Code,Country,Capital,Continent,Population,Area (km²),Density (per km²),GrowthRate,WorldPopulationPercentage
32,58,BFA,Burkina Faso,Ouagadougou,Africa,22673762,272967,83.0641,1.0259,0.28
33,78,BDI,Burundi,Bujumbura,Africa,12889576,27834,463.0874,1.027,0.16
34,73,KHM,Cambodia,Phnom Penh,Asia,16767842,181035,92.6221,1.0108,0.21
35,53,CMR,Cameroon,Yaounde,Africa,27914536,475442,58.7128,1.0263,0.35
36,39,CAN,Canada,Ottawa,North America,38454327,9984670,3.8513,1.0078,0.48
37,171,CPV,Cape Verde,Praia,Africa,593149,4033,147.0739,1.0089,0.01
38,205,CYM,Cayman Islands,George Town,North America,68706,264,260.25,1.0084,0.0
39,117,CAF,Central African Republic,Bangui,Africa,5579144,622984,8.9555,1.0224,0.07
40,69,TCD,Chad,N'Djamena,Africa,17723315,1284000,13.8032,1.0316,0.22
41,65,CHL,Chile,Santiago,South America,19603733,756102,25.9274,1.0057,0.25
42,1,CHN,China,Beijing,Asia,1425887337,9706961,146.8933,1.0,17.88
43,28,COL,Colombia,Bogota,South America,51874024,1141748,45.4339,1.0069,0.65
44,163,COM,Comoros,Moroni,Africa,836774,1862,449.3953,1.0184,0.01
45,223,COK,Cook Islands,Avarua,Oceania,17011,236,72.0805,1.0005,0.0
46,124,CRI,Costa Rica,San José,North America,5180829,51100,101.3861,1.0052,0.06
47,130,HRV,Croatia,Zagreb,Europe,4030358,56594,71.2153,0.9927,0.05
48,85,CUB,Cuba,Havana,North America,11212191,109884,102.0366,0.9961,0.14
49,189,CUW,Curacao,Willemstad,North America,191163,444,430.5473,1.0043,0.0
50,158,CYP,Cyprus,Nicosia,Europe,1251488,9251,135.2814,1.0059,0.02
51,88,CZE,Czech Republic,Prague,Europe,10493986,78865,133.0627,0.9984,0.13
52,115,DNK,Denmark,Copenhagen,Europe,5882261,43094,136.4984,1.0048,0.07
53,160,DJI,Djibouti,Djibouti,Africa,1120849,23200,48.3125,1.0138,0.01
54,204,DMA,Dominica,Roseau,North America,72737,751,96.8535,1.0045,0.0
55,84,DOM,Dominican Republic,Santo Domingo,North America,11228821,48671,230.7087,1.01,0.14
56,15,COD,DR Congo,Kinshasa,Africa,99010212,2344858,42.2244,1.0325,1.24
57,67,ECU,Ecuador,Quito,South America,18001000,276841,65.0229,1.0114,0.23
58,14,EGY,Egypt,Cairo,Africa,110990103,1002450,110.7188,1.0158,1.39
59,112,SLV,El Salvador,San Salvador,North America,6336392,21041,301.145,1.0035,0.08
