ChildMortalityID,CountryKey,DateID,genderID,HealthCoverageDataID,HungerKey,PovertyDataID,SuicideKey,PopulationID,HungerKey,PovertyDataID,ChildMortality,MortalityRate
77,29,34,1,327,54,59,344,28,54,59,8700.0,0.1004832040938382
78,29,34,1,327,54,59,345,28,54,59,8700.0,0.1004832040938382
79,29,34,1,327,54,60,343,28,54,60,8700.0,0.1004832040938382
80,29,34,1,327,54,60,344,28,54,60,8700.0,0.1004832040938382
81,29,34,1,327,54,60,345,28,54,60,8700.0,0.1004832040938382
82,29,34,1,327,54,61,343,28,54,61,8700.0,0.1004832040938382
83,29,34,1,327,54,61,344,28,54,61,8700.0,0.1004832040938382
84,29,34,1,327,54,61,345,28,54,61,8700.0,0.1004832040938382
85,29,34,1,327,54,62,343,28,54,62,8700.0,0.1004832040938382
86,29,34,1,327,54,62,344,28,54,62,8700.0,0.1004832040938382
87,29,34,1,327,54,62,345,28,54,62,8700.0,0.1004832040938382
88,29,34,1,327,54,63,343,28,54,63,8700.0,0.1004832040938382
89,29,34,1,327,54,63,344,28,54,63,8700.0,0.1004832040938382
90,29,34,1,327,54,63,345,28,54,63,8700.0,0.1004832040938382
91,29,34,1,327,55,59,343,28,55,59,8700.0,0.1004832040938382
92,29,34,1,327,55,59,344,28,55,59,8700.0,0.1004832040938382
93,29,34,1,327,55,59,345,28,55,59,8700.0,0.1004832040938382
94,29,34,1,327,55,60,343,28,55,60,8700.0,0.1004832040938382
95,29,34,1,327,55,60,344,28,55,60,8700.0,0.1004832040938382
96,29,34,1,327,55,60,345,28,55,60,8700.0,0.1004832040938382
97,29,34,1,327,55,61,343,28,55,61,8700.0,0.1004832040938382
98,29,34,1,327,55,61,344,28,55,61,8700.0,0.1004832040938382
99,29,34,1,327,55,61,345,28,55,61,8700.0,0.1004832040938382
100,29,34,1,327,55,62,343,28,55,62,8700.0,0.1004832040938382
101,29,34,1,327,55,62,344,28,55,62,8700.0,0.1004832040938382
102,29,34,1,327,55,62,345,28,55,62,8700.0,0.1004832040938382
103,29,34,1,327,55,63,343,28,55,63,8700.0,0.1004832040938382
104,29,34,1,327,55,63,344,28,55,63,8700.0,0.1004832040938382
105,29,34,1,327,55,63,345,28,55,63,8700.0,0.1004832040938382
106,29,34,1,327,56,59,343,28,56,59,8700.0,0.1004832040938382
107,29,34,1,327,56,59,344,28,56,59,8700.0,0.1004832040938382
108,29,34,1,327,56,59,345,28,56,59,8700.0,0.1004832040938382
109,29,34,1,327,56,60,343,28,56,60,8700.0,0.1004832040938382
110,29,34,1,327,56,60,344,28,56,60,8700.0,0.1004832040938382
111,29,34,1,327,56,60,345,28,56,60,8700.0,0.1004832040938382
112,29,34,1,327,56,61,343,28,56,61,8700.0,0.1004832040938382
113,29,34,1,327,56,61,344,28,56,61,8700.0,0.1004832040938382
114,29,34,1,327,56,61,345,28,56,61,8700.0,0.1004832040938382
115,29,34,1,327,56,62,343,28,56,62,8700.0,0.1004832040938382
116,29,34,1,327,56,62,344,28,56,62,8700.0,0.1004832040938382
117,29,34,1,327,56,62,345,28,56,62,8700.0,0.1004832040938382
118,29,34,1,327,56,63,343,28,56,63,8700.0,0.1004832040938382
119,29,34,1,327,56,63,344,28,56,63,8700.0,0.1004832040938382
120,29,34,1,327,56,63,345,28,56,63,8700.0,0.1004832040938382
121,29,34,3,327,53,59,343,28,53,59,15520.0,0.0887920927940988
122,29,34,3,327,53,59,344,28,53,59,15520.0,0.0887920927940988
123,29,34,3,327,53,59,345,28,53,59,15520.0,0.0887920927940988
124,29,34,3,327,53,60,343,28,53,60,15520.0,0.0887920927940988
125,29,34,3,327,53,60,344,28,53,60,15520.0,0.0887920927940988
126,29,34,3,327,53,60,345,28,53,60,15520.0,0.0887920927940988
127,29,34,3,327,53,61,343,28,53,61,15520.0,0.0887920927940988
